"Name","Team","Kills","Assists","Deaths","HS%","Team_kill","All_entries_won","Bomb_planted","Bomb_defused","KPR","APR","DPR","ADR","TDH","TDA","5K","4K","3K","2K","1K","Trade_kill","Trade_death","1v1","1v1_won","1v2","1v2_won","1v3","1v3_won","1v4","1v4_won","1v5","1v5_won","Utility","Map","Year","Map_Type","Event","Flashed_opponents_for","CT_entry_attempts","CT_entry_attempts_won","T_entry_attempts","T_entry_attempts_won"
"Zyphon","Copenhagen Flames",22,3,19,68.18,0,1,0,0,0.76,0.1,0.66,85,2466,419,0,0,0,5,12,3,3,0,0,0,0,1,0,0,0,0,0,233272,"de_inferno","03-11-2021","BO1","PGL Major Stockholm 2021",10.53,4,2,1,0
"hampus","Ninjas in Pyjamas",31,10,21,22.58,0,2,3,0,1.07,0.34,0.72,107.6,3120,421,0,0,4,7,5,5,3,0,0,1,1,0,0,1,0,0,0,233272,"de_inferno","03-11-2021","BO1","PGL Major Stockholm 2021",142.23,5,3,2,2
"REZ","Ninjas in Pyjamas",13,3,24,38.46,0,2,1,0,0.45,0.1,0.83,57.7,1674,290,0,0,0,3,7,3,3,0,0,0,0,0,0,0,0,0,0,233272,"de_inferno","03-11-2021","BO1","PGL Major Stockholm 2021",39.63,6,2,2,1
"dev1ce","Ninjas in Pyjamas",21,4,17,42.86,0,2,2,1,0.72,0.14,0.59,74.5,2161,204,0,0,1,4,10,4,3,0,0,0,0,0,0,0,0,0,0,233272,"de_inferno","03-11-2021","BO1","PGL Major Stockholm 2021",58.16,4,2,2,2
"jabbi","Copenhagen Flames",22,10,19,68.18,0,2,1,1,0.76,0.34,0.66,93.6,2714,342,0,0,3,2,9,2,6,0,0,0,0,0,0,0,0,0,0,233272,"de_inferno","03-11-2021","BO1","PGL Major Stockholm 2021",40.81,5,2,2,0
"nicoodoz","Copenhagen Flames",18,5,19,27.78,0,2,0,1,0.62,0.17,0.66,62.8,1822,114,0,0,1,5,5,6,2,0,0,0,0,1,0,0,0,0,0,233272,"de_inferno","03-11-2021","BO1","PGL Major Stockholm 2021",163.26,5,4,2,1
"HooXi","Copenhagen Flames",19,8,19,26.32,0,2,4,2,0.66,0.28,0.66,78.8,2285,315,0,1,0,5,5,3,2,0,0,1,0,0,0,0,0,0,0,233272,"de_inferno","03-11-2021","BO1","PGL Major Stockholm 2021",129.73,3,1,2,1
"roeJ","Copenhagen Flames",18,7,19,38.89,0,0,0,1,0.62,0.24,0.66,58.7,1703,259,0,0,0,3,12,2,4,0,0,0,0,0,0,0,0,0,0,233272,"de_inferno","03-11-2021","BO1","PGL Major Stockholm 2021",42.66,5,1,0,0
"LNZ","Ninjas in Pyjamas",21,6,24,42.86,0,0,5,1,0.58,0.17,0.67,53.4,1921,339,0,0,2,4,7,5,4,0,0,1,1,0,0,2,0,0,0,233272,"de_ancient","03-11-2021","BO1","PGL Major Stockholm 2021",153.46,3,1,0,0
"Plopski","Ninjas in Pyjamas",20,7,26,25,0,3,1,0,0.56,0.19,0.72,66.1,2379,319,0,0,0,6,8,2,3,0,0,0,0,0,0,1,0,0,0,233272,"de_ancient","03-11-2021","BO1","PGL Major Stockholm 2021",57.23,3,1,3,1
"dev1ce","Ninjas in Pyjamas",20,6,19,30,0,0,3,0,0.56,0.17,0.53,49,1763,152,0,0,0,7,6,7,4,0,0,1,1,1,0,0,0,0,0,233272,"de_ancient","03-11-2021","BO1","PGL Major Stockholm 2021",83.48,3,2,0,0
"REZ","Ninjas in Pyjamas",23,7,23,47.83,0,3,1,1,0.64,0.19,0.64,77.4,2788,398,0,1,1,3,10,2,3,0,0,0,0,0,0,0,0,0,0,233272,"de_ancient","03-11-2021","BO1","PGL Major Stockholm 2021",92.27,5,4,3,2
"hampus","Ninjas in Pyjamas",33,14,28,45.45,0,8,0,1,0.92,0.39,0.78,119.2,4290,542,0,0,2,11,6,4,3,0,0,0,0,2,1,0,0,0,0,233272,"de_ancient","03-11-2021","BO1","PGL Major Stockholm 2021",131.45,8,3,8,4
"Zyphon","Copenhagen Flames",28,10,28,50,0,2,2,1,0.78,0.28,0.78,75.8,2728,566,0,0,2,5,12,7,7,0,0,0,0,0,0,1,0,1,0,233272,"de_ancient","03-11-2021","BO1","PGL Major Stockholm 2021",42.53,7,6,2,1
"nicoodoz","Copenhagen Flames",25,3,24,32,0,2,1,1,0.69,0.08,0.67,71.9,2588,215,0,1,1,3,13,3,5,0,0,0,0,1,0,0,0,0,0,233272,"de_ancient","03-11-2021","BO1","PGL Major Stockholm 2021",116.27,4,2,2,1
"jabbi","Copenhagen Flames",24,6,23,50,0,4,1,0,0.67,0.17,0.64,75.6,2723,377,0,0,2,5,9,0,3,0,0,0,0,0,0,1,0,0,0,233272,"de_ancient","03-11-2021","BO1","PGL Major Stockholm 2021",131.29,2,0,4,3
"roeJ","Copenhagen Flames",18,8,24,61.11,0,3,1,0,0.5,0.22,0.67,71.6,2579,473,0,0,0,5,8,3,3,0,0,0,0,0,0,0,0,0,0,233272,"de_ancient","03-11-2021","BO1","PGL Major Stockholm 2021",79.38,3,2,3,1
"HooXi","Copenhagen Flames",21,12,23,47.62,0,3,1,3,0.58,0.33,0.64,75.6,2723,414,1,0,0,3,10,4,2,0,0,0,0,0,0,0,0,0,0,233272,"de_ancient","03-11-2021","BO1","PGL Major Stockholm 2021",187.06,6,1,3,1
"yuurih","FURIA",16,7,12,25,0,0,0,0,0.73,0.32,0.55,85.8,1887,424,0,0,0,4,8,0,4,0,0,0,0,1,0,0,0,1,0,233272,"de_vertigo","02-11-2021","BO1","PGL Major Stockholm 2021",72.98,4,3,0,0
"Krad","Entropiq",12,4,21,58.33,0,1,0,0,0.55,0.18,0.95,68,1496,160,0,0,1,1,8,1,2,1,1,0,0,1,0,0,0,0,0,233272,"de_vertigo","02-11-2021","BO1","PGL Major Stockholm 2021",85.37,3,1,1,1
"Lack1","Entropiq",7,3,21,57.14,0,4,1,0,0.32,0.14,0.95,73.6,1619,150,0,0,0,0,8,2,1,0,0,0,0,0,0,0,0,0,0,233272,"de_vertigo","02-11-2021","BO1","PGL Major Stockholm 2021",32.05,2,0,4,2
"KSCERATO","FURIA",17,4,11,52.94,0,3,1,0,0.77,0.18,0.5,82.9,1823,343,1,0,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,233272,"de_vertigo","02-11-2021","BO1","PGL Major Stockholm 2021",50.34,3,3,3,2
"Forester","Entropiq",11,2,17,45.45,0,1,1,0,0.5,0.09,0.77,47,1035,176,0,0,0,3,5,2,2,0,0,1,1,0,0,0,0,0,0,233272,"de_vertigo","02-11-2021","BO1","PGL Major Stockholm 2021",35.83,4,0,1,0
"drop","FURIA",11,8,11,45.45,0,3,1,0,0.5,0.36,0.5,58.6,1289,220,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,233272,"de_vertigo","02-11-2021","BO1","PGL Major Stockholm 2021",58.49,0,0,3,2
"El1an","Entropiq",8,3,19,12.5,0,3,3,1,0.36,0.14,0.86,52.4,1153,84,0,0,1,0,5,2,0,0,0,0,0,0,0,1,0,0,0,233272,"de_vertigo","02-11-2021","BO1","PGL Major Stockholm 2021",36.83,1,0,3,1
"VINI","FURIA",26,6,10,26.92,0,3,0,0,1.18,0.27,0.45,109.3,2405,281,0,1,1,7,6,5,2,0,0,0,0,0,0,0,0,0,0,233272,"de_vertigo","02-11-2021","BO1","PGL Major Stockholm 2021",57.63,3,3,3,2
"arT","FURIA",21,8,9,19.05,0,1,3,1,0.95,0.36,0.41,99.6,2192,181,0,0,1,5,8,1,1,0,0,1,1,0,0,0,0,0,0,233272,"de_vertigo","02-11-2021","BO1","PGL Major Stockholm 2021",131.69,2,2,1,0
"NickelBack","Entropiq",11,4,18,63.64,0,1,0,0,0.5,0.18,0.82,58.3,1283,194,0,0,0,3,5,1,3,0,0,0,0,0,0,0,0,0,0,233272,"de_vertigo","02-11-2021","BO1","PGL Major Stockholm 2021",115.88,2,0,1,0
